"parVals","aed_phytoplankton_micro","aed_phytoplankton_chloro","aed_phytoplankton_diatom","aed_phytoplankton_total"
0.4,104,104,126,126
0.8,130,104,126,126
1.2,147,104,125,129
1.6,177,104,125,177
