"parVals","aed_phytoplankton_micro","aed_phytoplankton_chloro","aed_phytoplankton_diatom","aed_phytoplankton_total"
0.4,104,104,125,125
0.8,104,104,126,126
1.2,104,141,125,125
1.6,104,171,125,127
