"parVals","aed_phytoplankton_micro","aed_phytoplankton_chloro","aed_phytoplankton_diatom","aed_phytoplankton_total"
0.4,104,104,104,104
0.8,104,104,119,119
1.2,105,104,125,119
1.6,104,104,127,127
