"parVals","aed_phytoplankton_micro","aed_phytoplankton_chloro","aed_phytoplankton_diatom","aed_phytoplankton_total"
1.04,104,104,127,127
1.06,104,104,127,127
1.08,104,104,126,125
1.1,105,104,126,125
